sr_no,date,target_home_price,population,monthly_supply_houses,new_permits_thousands,mortgage_rate,gdp_monthly,hcai,employment_percentage,ppi_const_goods,cci_real_estate,deliquency_rate,m3_trillion
1,01-01-00,100.552,281083,4.3,1727,8.15,101.488,17.087,74.248,142.4,103.091,1.48,4.6669
2,01-02-00,101.339,281299,4.3,1692,8.25,101.547,17.087,74.27,142.7,103.151,1.48,4.6801
3,01-03-00,102.127,281531,4.3,1651,8.27,101.62,17.087,74.227,143.2,103.059,1.48,4.7108
4,01-04-00,102.922,281763,4.4,1597,8.23,101.69,16.594,74.505,143.2,103.038,1.44,4.7668
5,01-05-00,103.677,281996,4.4,1543,8.13,101.731,16.594,74.089,142.2,103.009,1.44,4.7546
6,01-06-00,104.424,282247,4.8,1572,8.62,101.723,16.594,74.212,142.4,102.896,1.44,4.7724
7,01-07-00,105.054,282504,4.1,1542,8.14,101.67,15.357,73.837,141.9,102.858,1.47,4.79
8,01-08-00,105.768,282769,4.4,1552,8.21,101.583,15.357,73.885,141.2,102.818,1.47,4.8181
9,01-09-00,106.537,283033,4,1570,7.96,101.472,15.357,73.872,141.3,102.761,1.47,4.8538
10,01-10-00,107.381,283285,4,1577,7.88,101.34,15.779,73.891,141.1,102.637,1.52,4.8697
11,01-11-00,108.3,283523,4.2,1614,7.84,101.187,15.779,73.926,140.8,102.349,1.52,4.8806
12,01-12-00,109.138,283748,3.6,1543,7.79,101.013,15.779,74.103,140.6,101.745,1.52,4.9252
13,01-01-01,109.846,283960,3.8,1699,7.54,100.83,16.253,73.961,140.3,101.146,1.59,4.9758
14,01-02-01,110.501,284166,3.7,1656,7.07,100.652,16.253,73.867,140.9,100.709,1.59,5.0141
15,01-03-01,111.108,284380,3.8,1659,7.09,100.485,16.253,73.901,141,100.52,1.59,5.0719
16,01-04-01,111.65,284602,3.9,1666,7.03,100.321,15.664,73.551,141.3,100.482,1.73,5.1359
17,01-05-01,112.162,284834,4,1665,6.91,100.148,15.664,73.395,143.4,100.623,1.73,5.1329
18,01-06-01,112.795,285076,4.2,1626,7.12,99.961,15.664,73.145,143.7,100.713,1.73,5.1732
19,01-07-01,113.491,285324,4.2,1598,7.2,99.769,15.213,73.123,142.4,100.615,1.93,5.2032
20,01-08-01,114.167,285584,4.4,1615,7.11,99.588,15.213,72.586,142.4,100.269,1.93,5.2371
21,01-09-01,114.81,285842,4.4,1565,7.08,99.437,15.213,72.782,142.4,99.772,1.93,5.3482
22,01-10-01,115.308,286086,4.3,1566,6.92,99.322,15.188,72.469,141.1,99.593,1.91,5.3368
23,01-11-01,115.854,286315,4.1,1651,6.86,99.247,15.188,72.32,140.8,99.762,1.91,5.3804
24,01-12-01,116.451,286533,3.8,1680,6.58,99.208,15.188,72.237,140.1,100.171,1.91,5.4335
25,01-01-02,117.143,286739,4.2,1665,6.45,99.193,15.739,72.036,140.3,100.567,1.8,5.4539
26,01-02-02,117.844,286935,4,1787,6.84,99.19,15.739,72.336,140.3,100.804,1.8,5.4833
27,01-03-02,118.687,287131,4.1,1691,7.14,99.184,15.739,72.15,140.9,101.018,1.8,5.4952
